stage,bucket,count
figure_stage,digitization_no_output,6
figure_stage,digitized_curves,14
figure_stage,digitized_endpoints_failed,7
figure_stage,digitized_endpoints_ok,14
figure_stage,mapped_curves,5
figure_stage,triage_artifacts,17
figure_stage,triage_digitize_candidates,15
figure_stage,triage_has_permeation_plot_true,15
figure_stage,unmapped_curves,9
figure_stage,vlm_readings_readable,16
figure_stage,vlm_readings_total,21
figure_stage,vlm_used_as_final,7
figure_gate,skipped:missing_explicit_figure_signal,12
figure_gate,routed_candidates,30
figure_gate,after_gate,18
figure_triage_route,digitize,15
figure_triage_route,skip,2
figure_has_permeation_plot,false,2
figure_has_permeation_plot,true,15
figure_triage_signal,digitizable:no,2
figure_triage_signal,endpoint_curve_present:no,2
figure_triage_signal,recommended_route:skip,2
figure_triage_signal,ticks_readable:uncertain,2
figure_triage_signal,why_not_digitizable:calibration_curve_not_target,1
figure_triage_signal,why_not_digitizable:figure_does_not_contain_endpoint_curves_related_to_ibuprofen,1
figure_digitization_status,digitization_no_output,6
figure_digitization_status,fail_missing_axis_range,1
figure_digitization_status,ok,14
figure_digitization_failure,digitization_no_output,6
figure_digitization_failure,fail_missing_axis_range,1
figure_mapping_status,underconstrained_labels,9
figure_mapping_status,vision_mapped,5
figure_mapping_failure,underconstrained_label_space_2_curves_1_labels,2
figure_mapping_failure,underconstrained_label_space_3_curves_2_labels,3
figure_mapping_failure,underconstrained_label_space_4_curves_1_labels,4
figure_vlm_grounding_status,figure_label_space,2
figure_vlm_grounding_status,figure_label_space_only,4
figure_vlm_grounding_status,none,1
figure_vlm_grounding_status,source_label_space,13
figure_vlm_grounding_status,ungrounded,1
figure_vlm_reconciliation_status,cv_only,8
figure_vlm_reconciliation_status,cv_vlm_disagreement,1
figure_vlm_reconciliation_status,unreadable,5
figure_vlm_reconciliation_status,vlm_only,7
verification_route:figure,ambiguous_api_concentration,9
verification_route:figure,figure_digitization_failed,5
verification_route:figure,insufficient_evidence,18
verification_route:figure,missing_area,10
verification_route:figure,missing_endpoint,5
verification_route:figure,not_target_api,5
verification_route:figure,not_target_api_concentration,5
verification_route:figure,not_target_device,5
verification_route:figure,not_target_study_type,6
verification_route:figure,percent_only,2
verification_route:mixed,ambiguous_api_concentration,7
verification_route:mixed,insufficient_evidence,25
verification_route:mixed,missing_api_concentration,1
verification_route:mixed,missing_area,4
verification_route:mixed,missing_endpoint,3
verification_route:mixed,not_target_api,4
verification_route:mixed,not_target_api_concentration,3
verification_route:mixed,not_target_study_type,1
verification_route:mixed,unit_normalization_failed,1
verification_route:table,ambiguous_api_concentration,10
verification_route:table,insufficient_evidence,10
verification_route:table,missing_area,3
verification_route:table,not_target_api,2
verification_route:table,not_target_api_concentration,2
verification_route:table,not_target_study_type,2
verification_route:text,insufficient_evidence,1
verification_route:text,missing_endpoint,1
