stage,bucket,count
figure_stage,digitization_no_output,4
figure_stage,digitized_curves,17
figure_stage,digitized_endpoints_failed,5
figure_stage,digitized_endpoints_ok,17
figure_stage,mapped_curves,10
figure_stage,triage_artifacts,14
figure_stage,triage_digitize_candidates,14
figure_stage,triage_has_permeation_plot_true,14
figure_stage,unmapped_curves,7
figure_stage,vlm_readings_readable,13
figure_stage,vlm_readings_total,20
figure_stage,vlm_used_as_final,6
figure_gate,skipped:missing_explicit_figure_signal,7
figure_gate,routed_candidates,23
figure_gate,after_gate,16
figure_triage_route,digitize,14
figure_has_permeation_plot,true,14
figure_triage_signal,endpoint_curve_present:no,1
figure_triage_signal,ticks_readable:uncertain,2
figure_digitization_status,digitization_no_output,4
figure_digitization_status,fail_missing_axis_range,1
figure_digitization_status,ok,17
figure_digitization_failure,digitization_no_output,4
figure_digitization_failure,fail_missing_axis_range,1
figure_mapping_status,underconstrained_labels,7
figure_mapping_status,vision_mapped,10
figure_mapping_failure,underconstrained_label_space_2_curves_1_labels,2
figure_mapping_failure,underconstrained_label_space_5_curves_1_labels,5
figure_vlm_grounding_status,figure_label_space,3
figure_vlm_grounding_status,figure_label_space_only,7
figure_vlm_grounding_status,none,3
figure_vlm_grounding_status,source_label_space,7
figure_vlm_reconciliation_status,cv_only,3
figure_vlm_reconciliation_status,cv_vlm_agree,1
figure_vlm_reconciliation_status,cv_vlm_disagreement,4
figure_vlm_reconciliation_status,unreadable,7
figure_vlm_reconciliation_status,vlm_only,5
verification_route:figure,ambiguous_api_concentration,26
verification_route:figure,figure_digitization_failed,2
verification_route:figure,insufficient_evidence,28
verification_route:figure,missing_api_concentration,5
verification_route:figure,missing_area,25
verification_route:figure,missing_endpoint,2
verification_route:figure,not_target_api,16
verification_route:figure,not_target_api_concentration,22
verification_route:figure,not_target_device,12
verification_route:figure,not_target_study_type,4
verification_route:figure,source_context_inconsistent,65
verification_route:mixed,ambiguous_api_concentration,18
verification_route:mixed,insufficient_evidence,58
verification_route:mixed,missing_api_concentration,53
verification_route:mixed,missing_area,2
verification_route:mixed,missing_endpoint,9
verification_route:mixed,missing_endpoint_time,9
verification_route:mixed,not_target_api,11
verification_route:mixed,not_target_api_concentration,12
verification_route:mixed,not_target_device,9
verification_route:mixed,percent_only,19
verification_route:mixed,unit_normalization_failed,8
verification_route:table,ambiguous_api_concentration,56
verification_route:table,insufficient_evidence,29
verification_route:table,missing_api_concentration,15
verification_route:table,missing_area,10
verification_route:table,not_target_api,10
verification_route:table,not_target_api_concentration,3
verification_route:table,not_target_device,6
verification_route:text,insufficient_evidence,7
verification_route:text,missing_endpoint,1
verification_route:text,missing_endpoint_time,1
