stage,bucket,count
figure_stage,digitization_no_output,3
figure_stage,digitized_curves,9
figure_stage,digitized_endpoints_failed,6
figure_stage,digitized_endpoints_ok,9
figure_stage,mapped_curves,9
figure_stage,triage_artifacts,12
figure_stage,triage_digitize_candidates,11
figure_stage,triage_has_permeation_plot_true,11
figure_stage,unmapped_curves,0
figure_stage,vlm_readings_readable,18
figure_stage,vlm_readings_total,24
figure_stage,vlm_used_as_final,13
figure_gate,skipped:missing_explicit_figure_signal,7
figure_gate,routed_candidates,20
figure_gate,after_gate,13
figure_triage_route,digitize,11
figure_triage_route,skip,1
figure_has_permeation_plot,false,1
figure_has_permeation_plot,true,11
figure_triage_signal,digitizable:no,1
figure_triage_signal,endpoint_curve_present:no,2
figure_triage_signal,recommended_route:skip,1
figure_triage_signal,ticks_readable:uncertain,2
figure_triage_signal,why_not_digitizable:calibration_curve_not_target,1
figure_digitization_status,digitization_no_output,3
figure_digitization_status,fail_missing_axis_range,3
figure_digitization_status,ok,9
figure_digitization_failure,digitization_no_output,3
figure_digitization_failure,fail_missing_axis_range,3
figure_mapping_status,vision_mapped,9
figure_vlm_grounding_status,figure_label_space,1
figure_vlm_grounding_status,figure_label_space_only,4
figure_vlm_grounding_status,source_label_space,16
figure_vlm_grounding_status,ungrounded,3
figure_vlm_reconciliation_status,cv_only,3
figure_vlm_reconciliation_status,cv_vlm_disagreement,2
figure_vlm_reconciliation_status,unreadable,6
figure_vlm_reconciliation_status,vlm_only,13
verification_route:figure,ambiguous_api_concentration,25
verification_route:figure,figure_digitization_failed,7
verification_route:figure,insufficient_evidence,24
verification_route:figure,missing_api_concentration,8
verification_route:figure,missing_area,19
verification_route:figure,missing_endpoint,12
verification_route:figure,not_target_api,9
verification_route:figure,not_target_api_concentration,17
verification_route:figure,not_target_device,2
verification_route:figure,not_target_study_type,7
verification_route:figure,unit_normalization_failed,6
verification_route:mixed,ambiguous_api_concentration,10
verification_route:mixed,insufficient_evidence,58
verification_route:mixed,missing_api_concentration,30
verification_route:mixed,missing_endpoint,8
verification_route:mixed,not_target_api,16
verification_route:mixed,not_target_api_concentration,22
verification_route:mixed,not_target_device,3
verification_route:mixed,not_target_study_type,8
verification_route:mixed,percent_only,19
verification_route:mixed,unit_normalization_failed,7
verification_route:table,ambiguous_api_concentration,67
verification_route:table,insufficient_evidence,54
verification_route:table,missing_api_concentration,17
verification_route:table,missing_area,25
verification_route:table,not_target_api,24
verification_route:table,not_target_api_concentration,5
verification_route:table,not_target_study_type,5
verification_route:text,insufficient_evidence,4
verification_route:text,not_target_device,1
