stage,bucket,count
figure_stage,digitization_no_output,3
figure_stage,digitized_curves,34
figure_stage,digitized_endpoints_failed,7
figure_stage,digitized_endpoints_ok,34
figure_stage,mapped_curves,10
figure_stage,triage_artifacts,22
figure_stage,triage_digitize_candidates,20
figure_stage,triage_has_permeation_plot_true,20
figure_stage,unmapped_curves,24
figure_stage,vlm_readings_readable,0
figure_stage,vlm_readings_total,0
figure_stage,vlm_used_as_final,0
figure_gate,skipped:missing_explicit_figure_signal,4
figure_gate,routed_candidates,29
figure_gate,after_gate,25
figure_triage_route,digitize,20
figure_triage_route,skip,2
figure_has_permeation_plot,false,2
figure_has_permeation_plot,true,20
figure_triage_signal,digitizable:no,2
figure_triage_signal,endpoint_curve_present:no,5
figure_triage_signal,recommended_route:skip,2
figure_triage_signal,ticks_readable:uncertain,4
figure_triage_signal,why_not_digitizable:calibration_curve_not_target,1
figure_triage_signal,why_not_digitizable:the_figure_does_not_contain_any_endpoint_curves_related_to_ibuprofen,1
figure_digitization_status,digitization_no_output,3
figure_digitization_status,fail_missing_axis_range,4
figure_digitization_status,ok,34
figure_digitization_failure,digitization_no_output,3
figure_digitization_failure,fail_missing_axis_range,4
figure_mapping_status,underconstrained_labels,24
figure_mapping_status,vision_mapped,10
figure_mapping_failure,underconstrained_label_space_3_curves_2_labels,3
figure_mapping_failure,underconstrained_label_space_4_curves_2_labels,4
figure_mapping_failure,underconstrained_label_space_5_curves_4_labels,5
figure_mapping_failure,underconstrained_label_space_6_curves_2_labels,6
figure_mapping_failure,underconstrained_label_space_6_curves_5_labels,6
verification_route:figure,ambiguous_api_concentration,32
verification_route:figure,figure_digitization_failed,4
verification_route:figure,insufficient_evidence,30
verification_route:figure,missing_api_concentration,1
verification_route:figure,missing_area,11
verification_route:figure,missing_endpoint,6
verification_route:figure,not_target_api,13
verification_route:figure,not_target_api_concentration,6
verification_route:figure,not_target_device,2
verification_route:figure,not_target_study_type,11
verification_route:figure,percent_only,4
verification_route:figure,unit_normalization_failed,2
verification_route:mixed,figure_digitization_failed,2
verification_route:mixed,insufficient_evidence,6
verification_route:mixed,missing_endpoint,3
verification_route:mixed,not_target_api,1
verification_route:mixed,not_target_api_concentration,1
verification_route:mixed,not_target_study_type,1
verification_route:mixed,unit_normalization_failed,1
verification_route:table,ambiguous_api_concentration,13
verification_route:table,insufficient_evidence,12
verification_route:table,missing_area,4
verification_route:table,not_target_api,2
verification_route:table,not_target_api_concentration,1
verification_route:table,not_target_device,1
verification_route:table,not_target_study_type,1
verification_route:table,percent_only,2
verification_route:text,insufficient_evidence,9
verification_route:text,missing_endpoint,2
verification_route:text,missing_endpoint_time,2
